probe,condition,trait,r,n
claude,P,O,0.26531567931915073,78
claude,P,C,0.19939054922097507,78
claude,P,E,0.27191323435188597,78
claude,P,A,0.1122955896701742,78
claude,P,N,0.5685013154753887,78
claude,C,O,0.32175238305423615,78
claude,C,C,0.010213356717105363,78
claude,C,E,0.03749804523806302,78
claude,C,A,0.12022016871998896,78
claude,C,N,0.3963197666487498,78
gpt-4o-mini,P,O,0.34341393692840766,79
gpt-4o-mini,P,C,0.1873911535238548,79
gpt-4o-mini,P,E,-0.07979294045545812,79
gpt-4o-mini,P,A,0.1493710365444639,79
gpt-4o-mini,P,N,0.15054923616569207,79
gpt-4o-mini,C,O,0.22946879856436347,79
gpt-4o-mini,C,C,0.029243359494284294,79
gpt-4o-mini,C,E,0.08890733755088817,79
gpt-4o-mini,C,A,0.03214897508279037,79
gpt-4o-mini,C,N,0.22390991437070987,79
