method,trait,n,MAE,MAE_lo,MAE_hi,r,r_lo,r_hi,CCC,CCC_lo,CCC_hi
M2_classifier,O,562,0.3487,0.3297,0.3676,0.2034,0.1246,0.2798,0.0102,0.0063,0.0142
M2_classifier,C,562,0.4074,0.3883,0.4262,0.1952,0.1154,0.2767,0.0109,0.0065,0.0152
M2_classifier,E,562,0.3764,0.3585,0.3946,0.0507,-0.0282,0.1305,0.0024,-0.0014,0.0063
M2_classifier,A,562,0.3995,0.3791,0.4195,0.0579,-0.022,0.1357,0.0044,-0.0017,0.0103
M2_classifier,N,562,0.3012,0.2839,0.3184,0.2325,0.1537,0.31,0.0187,0.0122,0.0253
M2_classifier,ALL,2810,0.3667,0.358,0.375,0.1177,0.0811,0.1533,0.0099,0.0068,0.0129
M3_regressor,O,562,0.234,0.2185,0.2497,0.6574,0.6085,0.7024,0.6382,0.5871,0.6849
M3_regressor,C,562,0.2962,0.2775,0.3151,0.6067,0.5523,0.6574,0.5792,0.5245,0.6298
M3_regressor,E,562,0.2598,0.2434,0.2759,0.5801,0.5274,0.6306,0.5724,0.519,0.6229
M3_regressor,A,562,0.2566,0.2397,0.2739,0.7559,0.7178,0.7907,0.7502,0.7114,0.7846
M3_regressor,N,562,0.2653,0.2481,0.2824,0.6256,0.5748,0.6738,0.5961,0.5445,0.6447
M3_regressor,ALL,2810,0.2624,0.2547,0.27,0.649,0.6271,0.6708,0.6464,0.624,0.6681
M4_consensus,O,562,0.194,0.181,0.2074,0.7817,0.7452,0.8142,0.7807,0.7435,0.8129
M4_consensus,C,562,0.2353,0.219,0.2519,0.7772,0.7418,0.8098,0.7561,0.717,0.7909
M4_consensus,E,562,0.2389,0.2234,0.2546,0.7069,0.6645,0.747,0.6906,0.6462,0.7314
M4_consensus,A,562,0.2136,0.1988,0.2286,0.8668,0.845,0.8867,0.8491,0.8243,0.8709
M4_consensus,N,562,0.27,0.2535,0.2871,0.7387,0.7018,0.7738,0.6728,0.6301,0.7118
M4_consensus,ALL,2810,0.2304,0.2235,0.2374,0.77,0.7538,0.7855,0.7641,0.7475,0.7797
M5_probe,O,516,0.2673,0.2508,0.2843,0.6152,0.5591,0.6649,0.5991,0.5417,0.649
M5_probe,C,516,0.2572,0.2379,0.278,0.6612,0.6015,0.7146,0.6549,0.5937,0.7075
M5_probe,E,516,0.2357,0.2186,0.254,0.5954,0.5342,0.6508,0.5926,0.5304,0.6481
M5_probe,A,516,0.2878,0.2679,0.3086,0.7073,0.6577,0.752,0.7025,0.6519,0.747
M5_probe,N,516,0.3,0.2799,0.3212,0.5224,0.4541,0.5862,0.5011,0.4316,0.565
M5_probe,ALL,2580,0.2696,0.2609,0.2783,0.633,0.6068,0.6587,0.63,0.6036,0.6557
M6_scpi,O,562,0.3381,0.3201,0.3565,0.2052,0.1266,0.279,0.163,0.0999,0.2224
M6_scpi,C,562,0.3415,0.3219,0.3613,0.2773,0.201,0.3508,0.2302,0.1656,0.2911
M6_scpi,E,562,0.2735,0.2567,0.2902,0.3611,0.294,0.427,0.3029,0.2449,0.3594
M6_scpi,A,562,0.3939,0.3724,0.4161,0.2547,0.1774,0.3278,0.2211,0.1528,0.2849
M6_scpi,N,562,0.2937,0.2754,0.3121,0.2241,0.1401,0.3056,0.183,0.1136,0.2499
M6_scpi,ALL,2810,0.3282,0.3196,0.3367,0.3076,0.2745,0.3409,0.2679,0.2383,0.2974
