method,trait,n_total,n_splits_used,alpha_mean,beta_mean,cal_MAE,cal_MAE_lo,cal_MAE_hi,uncal_MAE,uncal_MAE_lo,uncal_MAE_hi,cal_r,cal_r_lo,cal_r_hi,uncal_r,uncal_r_lo,uncal_r_hi,MAE_improvement
M3,O,60,500,0.1051,0.4611,0.222,0.1743,0.2728,0.2815,0.2361,0.329,0.5061,0.3044,0.6566,0.5061,0.3044,0.6566,0.0594
M3,C,60,500,0.0626,0.6748,0.2071,0.1684,0.2496,0.2166,0.1695,0.2634,0.7111,0.5563,0.8389,0.7111,0.5563,0.8389,0.0094
M3,E,60,500,0.044,0.437,0.2463,0.1975,0.303,0.2994,0.24,0.3605,0.5223,0.329,0.6981,0.5223,0.329,0.6981,0.0531
M3,A,60,500,0.1187,0.153,0.2569,0.1964,0.3191,0.3732,0.2979,0.4529,0.0891,-0.4768,0.3929,0.194,-0.1209,0.4784,0.1164
M3,N,60,500,0.2869,0.3093,0.1853,0.1449,0.2269,0.2623,0.2063,0.3132,0.3689,0.1693,0.5649,0.3689,0.1693,0.5649,0.077
M4,O,60,500,0.1032,0.4681,0.2008,0.1552,0.2449,0.2723,0.2218,0.3281,0.6118,0.4471,0.7463,0.6118,0.4471,0.7463,0.0715
M4,C,60,500,0.099,0.5126,0.2289,0.1904,0.2685,0.2709,0.2139,0.326,0.6506,0.4689,0.797,0.6506,0.4689,0.797,0.0421
M4,E,60,500,0.0936,0.4043,0.2399,0.1958,0.2869,0.3215,0.2491,0.3873,0.55,0.3833,0.7152,0.55,0.3833,0.7152,0.0816
M4,A,60,500,0.1269,0.1724,0.2495,0.1864,0.3046,0.4038,0.3063,0.4965,0.2257,-0.6253,0.5756,0.3004,-0.0036,0.6363,0.1544
M4,N,60,500,0.2475,0.351,0.1807,0.1447,0.218,0.262,0.2162,0.3116,0.5005,0.3273,0.6508,0.5005,0.3273,0.6508,0.0813
M5,O,58,500,0.0541,0.482,0.2277,0.1733,0.279,0.2971,0.2514,0.3471,0.4774,0.2968,0.6347,0.4774,0.2968,0.6347,0.0694
M5,C,58,500,0.1464,0.4146,0.2794,0.2275,0.3333,0.3189,0.2619,0.3779,0.4188,0.1936,0.6016,0.4215,0.2037,0.6072,0.0395
M5,E,58,500,0.1214,0.2326,0.2849,0.2332,0.334,0.3609,0.2997,0.4193,0.2228,-0.0488,0.4357,0.2415,-0.0014,0.4543,0.076
M5,A,58,500,0.1318,0.0541,0.269,0.2027,0.3398,0.414,0.3267,0.4913,-0.1085,-0.4227,0.1607,0.0656,-0.3179,0.3997,0.1449
M5,N,58,500,0.3068,0.2787,0.1868,0.1435,0.2319,0.3008,0.2443,0.3603,0.3819,0.1991,0.5383,0.3819,0.1991,0.5383,0.114
M6,O,60,500,0.1414,0.1659,0.2583,0.2061,0.3173,0.3003,0.2495,0.3601,0.0009,-0.3227,0.2115,0.1013,-0.1231,0.3227,0.042
M6,C,60,500,0.0995,0.3595,0.2939,0.239,0.3453,0.3253,0.2702,0.3744,0.1461,-0.3417,0.3602,0.1756,-0.0972,0.3822,0.0314
M6,E,60,500,0.096,0.233,0.2945,0.2384,0.3487,0.313,0.2571,0.3683,0.0115,-0.3014,0.1925,0.0925,-0.1135,0.3014,0.0185
M6,A,60,500,0.1454,0.0213,0.2643,0.2087,0.3211,0.335,0.2672,0.403,-0.0972,-0.3025,0.0369,0.0219,-0.2182,0.269,0.0707
M6,N,60,500,0.373,-0.0153,0.206,0.1645,0.2502,0.3535,0.2886,0.4119,-0.1141,-0.3104,0.0193,0.02,-0.2724,0.2958,0.1475
