method,trait,n,MAE,MAE_lo,MAE_hi,r,r_lo,r_hi,CCC,CCC_lo,CCC_hi
M3_regressor,O,60,0.2813,0.2312,0.3331,0.5135,0.3429,0.6626,0.5101,0.3335,0.6474
M3_regressor,C,60,0.2148,0.1708,0.2628,0.718,0.5463,0.842,0.7166,0.5376,0.8348
M3_regressor,E,60,0.3017,0.2412,0.3664,0.5198,0.3315,0.6873,0.502,0.3114,0.6638
M3_regressor,A,60,0.3709,0.293,0.457,0.1971,-0.1066,0.4833,0.1907,-0.1011,0.4578
M3_regressor,N,60,0.2612,0.2074,0.3186,0.3715,0.174,0.5696,0.3412,0.1513,0.5306
M3_regressor,ALL,300,0.286,0.2592,0.3143,0.4694,0.3639,0.5648,0.4659,0.3601,0.5595
M4_consensus,O,60,0.2722,0.2202,0.327,0.6111,0.4614,0.7438,0.5911,0.4379,0.711
M4_consensus,C,60,0.2715,0.2159,0.3344,0.6554,0.4633,0.7976,0.6361,0.4336,0.7802
M4_consensus,E,60,0.3209,0.2558,0.3913,0.5555,0.3768,0.714,0.5282,0.3491,0.678
M4_consensus,A,60,0.4068,0.3204,0.5038,0.2855,-0.0288,0.5887,0.2562,-0.0249,0.5157
M4_consensus,N,60,0.2631,0.2159,0.3142,0.5,0.3204,0.6505,0.4723,0.2982,0.6151
M4_consensus,ALL,300,0.3069,0.2769,0.3381,0.5354,0.4309,0.627,0.5095,0.4075,0.5971
M5_probe,O,58,0.2954,0.2485,0.3451,0.4842,0.3301,0.626,0.4697,0.3107,0.6031
M5_probe,C,58,0.3198,0.2587,0.3851,0.4318,0.2274,0.6076,0.419,0.2108,0.5938
M5_probe,E,58,0.3614,0.3014,0.4259,0.2488,0.0147,0.4605,0.2478,0.0145,0.451
M5_probe,A,58,0.4115,0.3341,0.4968,0.0749,-0.2578,0.3974,0.0715,-0.2458,0.3607
M5_probe,N,58,0.2998,0.2411,0.3606,0.3811,0.2073,0.5379,0.3343,0.1795,0.4634
M5_probe,ALL,290,0.3376,0.3089,0.3663,0.3099,0.2014,0.4126,0.3087,0.1995,0.4091
M6_scpi,O,60,0.3002,0.2474,0.3561,0.1071,-0.1171,0.3159,0.0903,-0.0971,0.2602
M6_scpi,C,60,0.3253,0.2724,0.3803,0.1961,-0.0314,0.3831,0.1611,-0.0235,0.3133
M6_scpi,E,60,0.3134,0.26,0.3714,0.1041,-0.1052,0.3024,0.0738,-0.0717,0.2162
M6_scpi,A,60,0.3345,0.267,0.409,0.0227,-0.2268,0.2783,0.0222,-0.2198,0.2638
M6_scpi,N,60,0.3551,0.2939,0.4217,0.0099,-0.2677,0.2901,0.0044,-0.1172,0.1282
M6_scpi,ALL,300,0.3257,0.2992,0.3529,0.0091,-0.0929,0.1107,0.0083,-0.0843,0.0997
