comparison,n,r,p
HH: claude vs openai,60,0.872,1.218e-19
HH: claude vs google,60,0.8178,1.54e-15
HH: openai vs google,60,0.7975,2.427e-14
A_HEX: claude vs openai,60,0.7971,2.545e-14
A_HEX: claude vs google,60,0.7217,7.716e-11
A_HEX: openai vs google,60,0.756,2.891e-12
HH_claude vs OP_A,60,0.2654,0.04039
HH_openai vs OP_A,60,0.213,0.1022
HH_google vs OP_A,60,0.2363,0.06905
A_HEX_claude vs OP_A,60,0.0479,0.7164
A_HEX_openai vs OP_A,60,0.1013,0.4412
A_HEX_google vs OP_A,60,0.0071,0.9571
HH_claude vs M4_A,60,0.6907,1.016e-09
HH_openai vs M4_A,60,0.5836,9.868e-07
HH_google vs M4_A,60,0.6671,5.873e-09
HH_claude vs GT_A,60,0.6309,6.533e-08
HH_openai vs GT_A,60,0.5192,2.129e-05
HH_google vs GT_A,60,0.5892,7.318e-07
