method_a,method_b,trait_a,trait_b,cell_type,is_monotrait,r,n
M2_classifier,M2_classifier,O,C,heterotrait_monomethod,False,-0.3208,562
M2_classifier,M2_classifier,O,E,heterotrait_monomethod,False,-0.1852,562
M2_classifier,M2_classifier,O,A,heterotrait_monomethod,False,-0.077,562
M2_classifier,M2_classifier,O,N,heterotrait_monomethod,False,-0.1871,562
M2_classifier,M2_classifier,C,O,heterotrait_monomethod,False,-0.3208,562
M2_classifier,M2_classifier,C,E,heterotrait_monomethod,False,-0.1275,562
M2_classifier,M2_classifier,C,A,heterotrait_monomethod,False,-0.2124,562
M2_classifier,M2_classifier,C,N,heterotrait_monomethod,False,-0.3665,562
M2_classifier,M2_classifier,E,O,heterotrait_monomethod,False,-0.1852,562
M2_classifier,M2_classifier,E,C,heterotrait_monomethod,False,-0.1275,562
M2_classifier,M2_classifier,E,A,heterotrait_monomethod,False,-0.5328,562
M2_classifier,M2_classifier,E,N,heterotrait_monomethod,False,0.038,562
M2_classifier,M2_classifier,A,O,heterotrait_monomethod,False,-0.077,562
M2_classifier,M2_classifier,A,C,heterotrait_monomethod,False,-0.2124,562
M2_classifier,M2_classifier,A,E,heterotrait_monomethod,False,-0.5328,562
M2_classifier,M2_classifier,A,N,heterotrait_monomethod,False,-0.4603,562
M2_classifier,M2_classifier,N,O,heterotrait_monomethod,False,-0.1871,562
M2_classifier,M2_classifier,N,C,heterotrait_monomethod,False,-0.3665,562
M2_classifier,M2_classifier,N,E,heterotrait_monomethod,False,0.038,562
M2_classifier,M2_classifier,N,A,heterotrait_monomethod,False,-0.4603,562
M2_classifier,M3_regressor,O,O,monotrait_heteromethod,True,0.3,562
M2_classifier,M3_regressor,O,C,heterotrait_heteromethod,False,-0.0911,562
M2_classifier,M3_regressor,O,E,heterotrait_heteromethod,False,-0.0029,562
M2_classifier,M3_regressor,O,A,heterotrait_heteromethod,False,-0.1289,562
M2_classifier,M3_regressor,O,N,heterotrait_heteromethod,False,-0.0126,562
M2_classifier,M3_regressor,C,O,heterotrait_heteromethod,False,-0.2877,562
M2_classifier,M3_regressor,C,C,monotrait_heteromethod,True,0.2989,562
M2_classifier,M3_regressor,C,E,heterotrait_heteromethod,False,-0.152,562
M2_classifier,M3_regressor,C,A,heterotrait_heteromethod,False,0.0455,562
M2_classifier,M3_regressor,C,N,heterotrait_heteromethod,False,-0.3321,562
M2_classifier,M3_regressor,E,O,heterotrait_heteromethod,False,-0.009,562
M2_classifier,M3_regressor,E,C,heterotrait_heteromethod,False,-0.0689,562
M2_classifier,M3_regressor,E,E,monotrait_heteromethod,True,0.2497,562
M2_classifier,M3_regressor,E,A,heterotrait_heteromethod,False,-0.0528,562
M2_classifier,M3_regressor,E,N,heterotrait_heteromethod,False,-0.0368,562
M2_classifier,M3_regressor,A,O,heterotrait_heteromethod,False,-0.0725,562
M2_classifier,M3_regressor,A,C,heterotrait_heteromethod,False,-0.0161,562
