book,coref_id,character_name,provider,pred_O,gt_O,pred_C,gt_C,pred_E,gt_E,pred_A,gt_A,pred_N,gt_N
a_christmas_carol,40,Scrooge,OpenAI,-0.2,0.0005,0.6,0.6668,-0.4,0.3669,0.7,0.3952,-0.3,-0.2928
a_christmas_carol,40,Scrooge,Anthropic,-0.7,0.0005,0.6,0.6668,0.5,0.3669,0.8,0.3952,-0.8,-0.2928
a_christmas_carol,40,Scrooge,Google,0.0,0.0005,0.5,0.6668,-0.5,0.3669,0.5,0.3952,-0.5,-0.2928
a_christmas_carol,332,the Ghost,OpenAI,0.2,0.6007,0.6,0.3345,-0.3,-0.4774,0.7,0.5828,0.5,0.2487
a_christmas_carol,332,the Ghost,Anthropic,0.6,0.6007,-0.7,0.3345,-0.5,-0.4774,-0.4,0.5828,0.8,0.2487
a_christmas_carol,332,the Ghost,Google,0.5,0.6007,-0.5,0.3345,-0.5,-0.4774,0.5,0.5828,0.5,0.2487
a_christmas_carol,87,Bob,OpenAI,0.0,0.4559000000000001,0.5,0.6203,0.0,0.37150000000000005,1.0,0.8714,-0.5,-0.6148
a_christmas_carol,87,Bob,Anthropic,0.3,0.4559000000000001,0.6,0.6203,0.5,0.37150000000000005,0.8,0.8714,-0.4,-0.6148
a_christmas_carol,87,Bob,Google,0.0,0.4559000000000001,0.5,0.6203,-0.5,0.37150000000000005,0.5,0.8714,-0.5,-0.6148
a_christmas_carol,1276,the Spirit,OpenAI,0.3,0.6678,0.0,0.49620000000000003,0.6,0.6869,0.7,0.695,-0.4,-0.5153
a_christmas_carol,1276,the Spirit,Anthropic,0.7,0.6678,0.8,0.49620000000000003,0.6,0.6869,-0.4,0.695,-0.7,-0.5153
a_christmas_carol,1276,the Spirit,Google,0.5,0.6678,0.0,0.49620000000000003,0.5,0.6869,0.5,0.695,-0.5,-0.5153
a_christmas_carol,190,Scrooge 's nephew,OpenAI,0.0,0.3326,0.0,0.3065,0.8,0.6835,0.9,0.6669,-0.5,-0.3055
a_christmas_carol,190,Scrooge 's nephew,Anthropic,0.3,0.3326,0.2,0.3065,0.8,0.6835,0.9,0.6669,-0.7,-0.3055
a_christmas_carol,190,Scrooge 's nephew,Google,0.0,0.3326,0.0,0.3065,0.5,0.6835,0.5,0.6669,-0.5,-0.3055
a_christmas_carol,90,Peter,OpenAI,-0.3,-0.1502,0.0,-0.0357,-0.4,0.0083,-0.2,-0.101,-0.4,-0.3188
a_christmas_carol,90,Peter,Anthropic,-0.5,-0.1502,0.0,-0.0357,0.0,0.0083,-0.3,-0.101,0.0,-0.3188
a_christmas_carol,90,Peter,Google,0.0,-0.1502,0.0,-0.0357,-0.5,0.0083,0.0,-0.101,0.0,-0.3188
a_dolls_house,char_nora,Nora,OpenAI,0.6,0.4256,0.0,0.1073,0.5,0.5585,0.0,0.4497,0.4,0.1983
a_dolls_house,char_nora,Nora,Anthropic,0.3,0.4256,-0.4,0.1073,0.6,0.5585,0.5,0.4497,0.7,0.1983
a_dolls_house,char_nora,Nora,Google,0.5,0.4256,-0.5,0.1073,0.0,0.5585,0.0,0.4497,0.5,0.1983
a_dolls_house,char_torvald_helmer,Torvald Helmer,OpenAI,-0.3,-0.5379,0.7,0.614,0.4,0.3891,-0.5,-0.214,0.8,0.028399999999999998
a_dolls_house,char_torvald_helmer,Torvald Helmer,Anthropic,-0.7,-0.5379,0.8,0.614,0.6,0.3891,-0.6,-0.214,0.7,0.028399999999999998
a_dolls_house,char_torvald_helmer,Torvald Helmer,Google,-0.7,-0.5379,0.6,0.614,-0.4,0.3891,-0.8,-0.214,0.3,0.028399999999999998
a_dolls_house,char_mrs_linde,Mrs Linde,OpenAI,0.0,-0.3736,0.5,0.6408,-0.25,-0.4769,0.5,0.568,-0.25,-0.4208
a_dolls_house,char_mrs_linde,Mrs Linde,Anthropic,0.3,-0.3736,0.7,0.6408,-0.4,-0.4769,0.6,0.568,0.2,-0.4208
a_dolls_house,char_mrs_linde,Mrs Linde,Google,0.2,-0.3736,0.5,0.6408,-0.3,-0.4769,0.2,0.568,0.3,-0.4208
a_dolls_house,char_nils_krogstad,Nils Krogstad,OpenAI,-0.2,-0.4541,-0.5,0.5375,-0.2,-0.4932,-0.6,-0.5868,0.6,0.24680000000000002
a_dolls_house,char_nils_krogstad,Nils Krogstad,Anthropic,-0.6,-0.4541,0.5,0.5375,0.3,-0.4932,-0.7,-0.5868,0.6,0.24680000000000002
a_dolls_house,char_nils_krogstad,Nils Krogstad,Google,0.0,-0.4541,0.5,0.5375,-0.5,-0.4932,-0.5,-0.5868,0.5,0.24680000000000002
a_dolls_house,char_doctor_rank,Doctor Rank,OpenAI,-0.2,0.3993999999999999,0.0,0.23960000000000004,-0.2,0.1382,0.3,0.5912,0.4,-0.0979
a_dolls_house,char_doctor_rank,Doctor Rank,Anthropic,0.6,0.3993999999999999,0.4,0.23960000000000004,0.7,0.1382,0.3,0.5912,0.8,-0.0979
a_dolls_house,char_doctor_rank,Doctor Rank,Google,0.5,0.3993999999999999,-0.5,0.23960000000000004,0.5,0.1382,0.0,0.5912,0.5,-0.0979
a_midsummer_nights_dream,char_lysander,Lysander,OpenAI,0.2,0.5041359999999999,0.0,0.096284,0.3,0.598884,0.0,-0.04274,0.5,0.32238
a_midsummer_nights_dream,char_lysander,Lysander,Anthropic,0.6,0.5041359999999999,-0.4,0.096284,0.7,0.598884,-0.6,-0.04274,0.8,0.32238
a_midsummer_nights_dream,char_lysander,Lysander,Google,0.5,0.5041359999999999,-0.5,0.096284,0.0,0.598884,0.0,-0.04274,0.5,0.32238
a_midsummer_nights_dream,char_theseus,Theseus,OpenAI,0.3,0.123732,0.6,0.761388,0.6,0.7718,0.0,0.571496,-0.3,-0.57424
a_midsummer_nights_dream,char_theseus,Theseus,Anthropic,-0.6,0.123732,0.7,0.761388,0.8,0.7718,0.6,0.571496,-0.7,-0.57424
a_midsummer_nights_dream,char_theseus,Theseus,Google,0.5,0.123732,0.0,0.761388,0.5,0.7718,0.5,0.571496,-0.5,-0.57424
a_midsummer_nights_dream,char_demetrius,Demetrius,OpenAI,-0.2,-0.32677199999999995,0.0,0.10162,0.2,0.4124840000000001,-0.6,-0.6433359999999999,0.8,0.46287199999999995
a_midsummer_nights_dream,char_demetrius,Demetrius,Anthropic,-0.5,-0.32677199999999995,-0.6,0.10162,0.7,0.4124840000000001,-0.8,-0.6433359999999999,0.8,0.46287199999999995
a_midsummer_nights_dream,char_demetrius,Demetrius,Google,0.0,-0.32677199999999995,-0.5,0.10162,0.0,0.4124840000000001,-0.5,-0.6433359999999999,0.5,0.46287199999999995
a_midsummer_nights_dream,char_hermia,Hermia,OpenAI,0.0,0.621504,0.0,0.256596,0.5,0.6300239999999999,-0.5,-0.10684399999999998,0.5,0.5593
a_midsummer_nights_dream,char_hermia,Hermia,Anthropic,0.6,0.621504,-0.4,0.256596,0.5,0.6300239999999999,0.3,-0.10684399999999998,0.7,0.5593
a_midsummer_nights_dream,char_hermia,Hermia,Google,0.5,0.621504,-0.5,0.256596,0.0,0.6300239999999999,0.0,-0.10684399999999998,0.5,0.5593
a_midsummer_nights_dream,char_bottom,Bottom,OpenAI,0.3,0.35516800000000004,0.0,-0.26046800000000003,0.8,0.8157,0.6,0.19779200000000002,-0.3,-0.27682
a_midsummer_nights_dream,char_bottom,Bottom,Anthropic,0.3,0.35516800000000004,-0.4,-0.26046800000000003,0.8,0.8157,0.6,0.19779200000000002,0.2,-0.27682
a_midsummer_nights_dream,char_bottom,Bottom,Google,0.5,0.35516800000000004,0.5,-0.26046800000000003,0.5,0.8157,0.0,0.19779200000000002,-0.5,-0.27682
a_midsummer_nights_dream,char_quince,Quince,OpenAI,0.2,0.03358,0.6,0.610472,0.3,0.357352,0.5,0.466028,-0.2,0.08341200000000001
a_midsummer_nights_dream,char_quince,Quince,Anthropic,0.3,0.03358,0.6,0.610472,0.8,0.357352,0.4,0.466028,-0.3,0.08341200000000001
a_midsummer_nights_dream,char_quince,Quince,Google,0.0,0.03358,0.5,0.610472,-0.5,0.357352,0.0,0.466028,0.0,0.08341200000000001
a_midsummer_nights_dream,char_helena,Helena,OpenAI,0.0,0.295596,-0.5,-0.291904,0.0,0.26867199999999997,0.9,0.034560000000000014,0.8,0.649884
a_midsummer_nights_dream,char_helena,Helena,Anthropic,0.7,0.295596,-0.6,-0.291904,0.5,0.26867199999999997,0.3,0.034560000000000014,0.8,0.649884
a_midsummer_nights_dream,char_helena,Helena,Google,0.5,0.295596,-0.5,-0.291904,-0.5,0.26867199999999997,0.5,0.034560000000000014,0.5,0.649884
a_midsummer_nights_dream,char_puck,Puck,OpenAI,0.5,0.9395239999999999,-0.5,-0.5296719999999999,0.7,0.8352,0.0,-0.2812,-0.5,-0.39248399999999994
a_midsummer_nights_dream,char_puck,Puck,Anthropic,0.8,0.9395239999999999,-0.6,-0.5296719999999999,0.9,0.8352,-0.4,-0.2812,-0.7,-0.39248399999999994
a_midsummer_nights_dream,char_puck,Puck,Google,0.5,0.9395239999999999,-0.5,-0.5296719999999999,0.5,0.8352,-0.5,-0.2812,0.5,-0.39248399999999994
a_midsummer_nights_dream,char_oberon,Oberon,OpenAI,0.5,0.845712,0.0,0.581476,0.0,0.688048,-0.5,-0.268092,0.5,0.21747999999999995
a_midsummer_nights_dream,char_oberon,Oberon,Anthropic,0.7,0.845712,0.6,0.581476,0.5,0.688048,-0.6,-0.268092,0.4,0.21747999999999995
a_midsummer_nights_dream,char_oberon,Oberon,Google,0.5,0.845712,-0.5,0.581476,0.0,0.688048,-0.5,-0.268092,0.5,0.21747999999999995
a_midsummer_nights_dream,char_titania,Titania,OpenAI,0.6,0.8829840000000001,0.0,-0.146468,0.4,0.7574639999999999,0.7,0.15155199999999996,0.2,0.43995999999999996
a_midsummer_nights_dream,char_titania,Titania,Anthropic,0.8,0.8829840000000001,-0.6,-0.146468,0.7,0.7574639999999999,0.3,0.15155199999999996,0.6,0.43995999999999996
a_midsummer_nights_dream,char_titania,Titania,Google,0.5,0.8829840000000001,-0.5,-0.146468,0.5,0.7574639999999999,0.5,0.15155199999999996,0.0,0.43995999999999996
a_tale_of_two_cities,160,Madame Defarge,OpenAI,-0.2,-0.4567411764705882,0.85,0.8115823529411765,-0.1,0.19576470588235298,-0.9,-0.853335294117647,-0.2,0.15629411764705883
a_tale_of_two_cities,160,Madame Defarge,Anthropic,0.3,-0.4567411764705882,0.85,0.8115823529411765,0.4,0.19576470588235298,-0.85,-0.853335294117647,-0.4,0.15629411764705883
a_tale_of_two_cities,160,Madame Defarge,Google,0.5,-0.4567411764705882,0.7,0.8115823529411765,0.7,0.19576470588235298,-0.6,-0.853335294117647,-0.7,0.15629411764705883
a_tale_of_two_cities,206,Carton,OpenAI,0.55,0.5245352941176471,0.25,-0.6927882352941177,-0.35,-0.5520823529411765,0.05,0.4779882352941177,0.65,0.6712117647058824
a_tale_of_two_cities,206,Carton,Anthropic,0.65,0.5245352941176471,-0.7,-0.6927882352941177,-0.3,-0.5520823529411765,0.3,0.4779882352941177,0.7,0.6712117647058824
a_tale_of_two_cities,206,Carton,Google,0.5,0.5245352941176471,-0.6,-0.6927882352941177,-0.5,-0.5520823529411765,0.6,0.4779882352941177,0.6,0.6712117647058824
a_tale_of_two_cities,189,Darnay,OpenAI,0.35,0.08117222222222224,0.55,0.3714777777777778,-0.05,-0.08106111111111107,0.75,0.3079166666666666,0.15,-0.1962222222222222
a_tale_of_two_cities,189,Darnay,Anthropic,0.55,0.08117222222222224,0.7,0.3714777777777778,0.2,-0.08106111111111107,0.75,0.3079166666666666,0.15,-0.1962222222222222
a_tale_of_two_cities,189,Darnay,Google,0.6,0.08117222222222224,0.8,0.3714777777777778,-0.3,-0.08106111111111107,0.8,0.3079166666666666,-0.7,-0.1962222222222222
a_tale_of_two_cities,203,Lucie,OpenAI,0.1,-0.01413333333333332,0.55,0.2971388888888889,-0.15,0.16395555555555558,0.9,0.4612333333333334,0.75,0.3672555555555556
a_tale_of_two_cities,203,Lucie,Anthropic,0.1,-0.01413333333333332,0.3,0.2971388888888889,-0.2,0.16395555555555558,0.85,0.4612333333333334,0.7,0.3672555555555556
a_tale_of_two_cities,203,Lucie,Google,-0.2,-0.01413333333333332,0.5,0.2971388888888889,-0.2,0.16395555555555558,0.9,0.4612333333333334,0.8,0.3672555555555556
adventures_of_huckleberry_finn,0,Huck Finn,OpenAI,0.2,0.510396875,-0.4,-0.37842187499999996,-0.1,0.258478125,0.5,0.4976499999999999,0.1,0.08950625000000001
adventures_of_huckleberry_finn,0,Huck Finn,Anthropic,0.4,0.510396875,-0.6,-0.37842187499999996,0.1,0.258478125,0.5,0.4976499999999999,0.3,0.08950625000000001
adventures_of_huckleberry_finn,0,Huck Finn,Google,-0.6,0.510396875,-0.4,-0.37842187499999996,-0.4,0.258478125,0.5,0.4976499999999999,-0.6,0.08950625000000001
adventures_of_huckleberry_finn,117,Jim,OpenAI,0.2,0.3175071428571429,0.7,0.3028642857142857,-0.3,-0.1832714285714286,0.6,0.673825,0.4,-0.15254642857142858
adventures_of_huckleberry_finn,117,Jim,Anthropic,-0.3,0.3175071428571429,0.4,0.3028642857142857,-0.3,-0.1832714285714286,0.6,0.673825,0.4,-0.15254642857142858
adventures_of_huckleberry_finn,117,Jim,Google,-0.2,0.3175071428571429,0.7,0.3028642857142857,-0.3,-0.1832714285714286,0.8,0.673825,-0.5,-0.15254642857142858
adventures_of_huckleberry_finn,499,the king,OpenAI,0.35,0.2313,0.25,-0.5792705882352941,0.65,0.3882999999999999,-0.75,-0.5196058823529411,0.2,0.0042
adventures_of_huckleberry_finn,499,the king,Anthropic,-0.3,0.2313,-0.4,-0.5792705882352941,0.8,0.3882999999999999,-0.7,-0.5196058823529411,-0.2,0.0042
adventures_of_huckleberry_finn,499,the king,Google,0.6,0.2313,-0.8,-0.5792705882352941,0.9,0.3882999999999999,-0.9,-0.5196058823529411,-0.3,0.0042
alices_adventures_in_wonderland,55,Alice,OpenAI,0.85,0.8488333333333336,0.15,0.4649333333333334,0.1,0.3531666666666667,0.35,0.5021666666666668,0.55,0.2872333333333334
alices_adventures_in_wonderland,55,Alice,Anthropic,0.85,0.8488333333333336,0.1,0.4649333333333334,0.2,0.3531666666666667,0.3,0.5021666666666668,0.55,0.2872333333333334
alices_adventures_in_wonderland,55,Alice,Google,0.9,0.8488333333333336,0.5,0.4649333333333334,0.4,0.3531666666666667,0.6,0.5021666666666668,0.3,0.2872333333333334
alices_adventures_in_wonderland,314,the Hatter,OpenAI,0.85,0.8197411764705882,-0.55,-0.6435647058823528,0.35,0.5290294117647059,-0.45,-0.2892764705882353,0.15,0.28099411764705884
alices_adventures_in_wonderland,314,the Hatter,Anthropic,0.85,0.8197411764705882,-0.6,-0.6435647058823528,0.7,0.5290294117647059,-0.5,-0.2892764705882353,0.4,0.28099411764705884
alices_adventures_in_wonderland,314,the Hatter,Google,0.9,0.8197411764705882,-0.8,-0.6435647058823528,0.5,0.5290294117647059,-0.6,-0.2892764705882353,0.4,0.28099411764705884
alices_adventures_in_wonderland,909,the Queen,OpenAI,-0.4,-0.3800294117647059,-0.2,-0.7077235294117648,0.6,0.40760588235294115,-1.0,-0.8678,0.8,0.8893764705882353
