query_name,query_book,query_coref_id,query_M4_A,query_OP_A,query_GT_A,rank,similarity,atlas_factor,atlas_adjective,atlas_synonym,atlas_trait_type
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,1,0.3185,Honesty-Humility,Loyal,Fidelity,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,2,0.3158,Honesty-Humility,Modest,Unpretentious,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,3,0.314,Honesty-Humility,Loyal,Dedicated,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,4,0.3137,Agreeableness,Gentle,Mild,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,5,0.3072,Honesty-Humility,Modest,Reserved,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,6,0.2911,Agreeableness,Patient,Understanding,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,7,0.29,Honesty-Humility,Faithful,Devoted,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,8,0.2832,Agreeableness,Lenient,Merciful,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,9,0.2807,Agreeableness,Gentle,Kind,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,10,0.2792,Honesty-Humility,Honest,Truthful,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,11,0.2783,Honesty-Humility,Faithful,Loyal,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,12,0.2755,Extraversion,Cheerful,Optimistic,Emotional
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,13,0.2751,Agreeableness,Patient,Forbearing,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,14,0.273,Agreeableness,Patient,Tolerant,Interpersonal
George Wickham,pride_and_prejudice,100,-0.65,1.057,-0.1167,15,0.2695,Honesty-Humility,Modest,Humble,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,1,0.2418,Agreeableness,Gentle,Kind,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,2,0.2359,Agreeableness,Gentle,Tender,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,3,0.2353,Conscientiousness,Diligent,Hardworking,Behavioral
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,4,0.2305,Agreeableness,Gentle,Mild,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,5,0.2106,Agreeableness,Lenient,Merciful,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,6,0.2063,Agreeableness,Patient,Tolerant,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,7,0.2054,Conscientiousness,Diligent,Persistent,Behavioral
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,8,0.1986,Agreeableness,Patient,Understanding,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,9,0.1973,Agreeableness,Lenient,Permissive,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,10,0.1913,Agreeableness,Lenient,Indulgent,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,11,0.1887,Honesty-Humility,Faithful,Devoted,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,12,0.1886,Extraversion,Cheerful,Optimistic,Emotional
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,13,0.1882,Honesty-Humility,Loyal,Dedicated,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,14,0.1868,Honesty-Humility,Loyal,Fidelity,Interpersonal
Lady Catherine de Bourgh,pride_and_prejudice,130,-0.8,0.767,-0.2113,15,0.1841,Conscientiousness,Diligent,Industrious,Behavioral
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,1,0.2509,Agreeableness,Gentle,Mild,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,2,0.2439,Agreeableness,Patient,Understanding,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,3,0.2409,Honesty-Humility,Modest,Reserved,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,4,0.2392,Honesty-Humility,Loyal,Fidelity,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,5,0.2324,Honesty-Humility,Loyal,Dedicated,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,6,0.2323,Extraversion,Cheerful,Optimistic,Emotional
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,7,0.2295,Honesty-Humility,Honest,Truthful,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,8,0.2295,Agreeableness,Patient,Tolerant,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,9,0.2277,Honesty-Humility,Sincere,Authentic,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,10,0.2246,Honesty-Humility,Faithful,Devoted,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,11,0.2215,Agreeableness,Lenient,Merciful,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,12,0.2206,Honesty-Humility,Modest,Unpretentious,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,13,0.2187,Agreeableness,Gentle,Tender,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,14,0.2175,Honesty-Humility,Faithful,Steadfast,Interpersonal
Jane Bennet,pride_and_prejudice,192,0.9,-0.472,0.3333,15,0.2147,Emotionality,Anxious,Worried,Emotional
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,1,0.2466,Emotionality,Fearful,Timid,Emotional
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,2,0.2351,Agreeableness,Gentle,Mild,Interpersonal
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,3,0.2319,Emotionality,Anxious,Worried,Emotional
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,4,0.2291,Emotionality,Fearful,Anxious,Emotional
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,5,0.2287,Agreeableness,Gentle,Tender,Interpersonal
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,6,0.2265,Agreeableness,Patient,Tolerant,Interpersonal
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,7,0.2252,Emotionality,Vulnerable,Defenseless,Emotional
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,8,0.2164,Agreeableness,Patient,Understanding,Interpersonal
Myrtle Wilson,the_great_gatsby,170,-0.6,0.376,0.2249,9,0.2145,Agreeableness,Gentle,Kind,Interpersonal
