slot,model,family,openness,alignment_regime,n_chars_main,abs_r_H_A_HEX,ci_low,ci_high,bootstrap_se,abs_r_held_out,delta_r_held_vs_main,parse_success_h,parse_success_o,refusal_rate_h,refusal_rate_o
anthropic_1,claude-opus-4-6,Anthropic,closed,CAI,50,0.7094778833371977,0.5282855409939705,0.8419863077026326,0.08166118144206978,0.7209352220988123,0.011457338761614588,1.0,1.0,0.0,0.0
anthropic_2,claude-sonnet-4-5-20250929,Anthropic,closed,CAI,49,0.7891654583469594,0.6602386735142497,0.882477849783109,0.05596785247067947,0.6932026526490223,0.09596280569793714,0.9833333333333333,1.0,0.0,0.0
anthropic_3,claude-sonnet-4-20250514,Anthropic,closed,CAI,49,0.8276470053666414,0.7088795272518098,0.9023888040377438,0.04792070060472143,0.824478290841013,0.003168714525628391,1.0,0.9833333333333333,0.0,0.0
anthropic_4,claude-haiku-4-5-20251001,Anthropic,closed,CAI,50,0.773126054968016,0.5778704061060024,0.9174153690414111,0.08575775347841479,0.8716615338497203,0.09853547888170433,1.0,1.0,0.0,0.0
openai_1,gpt-5.2-2025-12-11,OpenAI,closed,RLHF,50,0.8132959773599621,0.6926786218846548,0.8897504329782073,0.049544876540451005,0.7361767126773494,0.07711926468261265,1.0,1.0,0.0,0.0
openai_2,gpt-5,OpenAI,closed,RLHF,44,0.7441818334784188,0.5734566128889741,0.8826726380536093,0.08110919334474444,0.7106306125060547,0.03355122097236407,0.8833333333333333,0.9666666666666667,0.0,0.0
openai_3,o4-mini,OpenAI,closed,RLHF,50,0.7599984480276475,0.6050642438875796,0.8761765913506353,0.06780768047249562,0.48805877185978885,0.27193967616785863,1.0,1.0,0.0,0.0
openai_4,gpt-4o-2024-08-06,OpenAI,closed,RLHF,50,0.9133660031237373,0.8491983872714599,0.9546375809604701,0.025618336001955313,0.9561687193977968,0.042802716274059516,1.0,1.0,0.0,0.0
openai_5,gpt-4o-2024-05-13,OpenAI,closed,RLHF,50,0.9212254554766238,0.863640382724008,0.960331868239749,0.024357738157623248,0.8952267768776524,0.025998678598971425,1.0,1.0,0.0,0.0
google_1,gemini-3.1-pro-preview,Google,closed,Hybrid,50,0.5519199872623106,0.33967193905429743,0.7510419549518978,0.1054239548881469,0.7029121299687411,0.15099214270643047,1.0,1.0,0.0,0.0
google_2,gemini-3-pro-preview,Google,closed,Hybrid,50,0.5396353767018427,0.32081324709324605,0.736391786162107,0.10557566795099466,0.7305358356102715,0.19090045890842877,1.0,1.0,0.0,0.0
google_3,gemini-2.5-pro,Google,closed,Hybrid,42,0.5412150331047035,0.2612413516849532,0.7508030022880839,0.12320858314383829,0.8710730132068094,0.3298579801021059,1.0,0.8333333333333334,0.0,0.0
google_4,gemini-2.5-flash,Google,closed,Hybrid,50,0.5161880267437001,0.2492162742608606,0.7447401972871392,0.1277311877839626,0.8057882167581497,0.2896001900144496,1.0,1.0,0.0,0.0
google_5,gemini-2.5-flash-lite,Google,closed,Unknown,49,0.7866590175542596,0.6336521812450614,0.8762668068531356,0.06239879350983344,0.42676196928804333,0.35989704826621627,1.0,0.9833333333333333,0.0,0.0
