slot,model,family,openness,alignment_regime,n_chars_main,abs_r_H_A_HEX,ci_low,ci_high,bootstrap_se,abs_r_held_out,delta_r_held_vs_main,parse_success_h,parse_success_o,refusal_rate_h,refusal_rate_o
anthropic_1,claude-opus-4-6,Anthropic,closed,CAI,50,0.7094778833371977,0.5282855409939705,0.8419863077026326,0.0816611814420697,0.7209352220988123,0.0114573387616145,1.0,1.0,0.0,0.0
anthropic_2,claude-sonnet-4-5-20250929,Anthropic,closed,CAI,49,0.7891654583469594,0.6602386735142497,0.882477849783109,0.0559678524706794,0.6932026526490223,0.0959628056979371,0.9833333333333332,1.0,0.0,0.0
anthropic_3,claude-sonnet-4-20250514,Anthropic,closed,CAI,49,0.8276470053666414,0.7088795272518098,0.9023888040377438,0.0479207006047214,0.824478290841013,0.0031687145256283,1.0,0.9833333333333332,0.0,0.0
anthropic_4,claude-haiku-4-5-20251001,Anthropic,closed,CAI,50,0.773126054968016,0.5778704061060024,0.9174153690414112,0.0857577534784147,0.8716615338497203,0.0985354788817043,1.0,1.0,0.0,0.0
openai_1,gpt-5.2-2025-12-11,OpenAI,closed,RLHF,50,0.8132959773599621,0.6926786218846548,0.8897504329782073,0.049544876540451,0.7361767126773494,0.0771192646826126,1.0,1.0,0.0,0.0
openai_2,gpt-5,OpenAI,closed,RLHF,44,0.7441818334784188,0.5734566128889741,0.8826726380536093,0.0811091933447444,0.7106306125060547,0.033551220972364,0.8833333333333333,0.9666666666666668,0.0,0.0
openai_3,o4-mini,OpenAI,closed,RLHF,50,0.7599984480276475,0.6050642438875796,0.8761765913506353,0.0678076804724956,0.4880587718597888,0.2719396761678586,1.0,1.0,0.0,0.0
openai_4,gpt-4o-2024-08-06,OpenAI,closed,RLHF,50,0.9133660031237372,0.8491983872714599,0.95463758096047,0.0256183360019553,0.9561687193977968,0.0428027162740595,1.0,1.0,0.0,0.0
openai_5,gpt-4o-2024-05-13,OpenAI,closed,RLHF,50,0.9212254554766238,0.863640382724008,0.960331868239749,0.0243577381576232,0.8952267768776524,0.0259986785989714,1.0,1.0,0.0,0.0
google_1,gemini-3.1-pro-preview,Google,closed,Hybrid,50,0.5519199872623106,0.3396719390542974,0.7510419549518978,0.1054239548881469,0.7029121299687411,0.1509921427064304,1.0,1.0,0.0,0.0
google_2,gemini-3-pro-preview,Google,closed,Hybrid,50,0.5396353767018427,0.320813247093246,0.736391786162107,0.1055756679509946,0.7305358356102715,0.1909004589084287,1.0,1.0,0.0,0.0
google_3,gemini-2.5-pro,Google,closed,Hybrid,42,0.5412150331047035,0.2612413516849532,0.7508030022880839,0.1232085831438382,0.8710730132068094,0.3298579801021059,1.0,0.8333333333333334,0.0,0.0
google_4,gemini-2.5-flash,Google,closed,Hybrid,50,0.5161880267437001,0.2492162742608606,0.7447401972871392,0.1277311877839626,0.8057882167581497,0.2896001900144496,1.0,1.0,0.0,0.0
google_5,gemini-2.5-flash-lite,Google,closed,Unknown,49,0.7866590175542596,0.6336521812450614,0.8762668068531356,0.0623987935098334,0.4267619692880433,0.3598970482662162,1.0,0.9833333333333332,0.0,0.0
xai_1,x-ai/grok-4.3,xAI,closed,Unknown,50,0.6686794905271737,0.4845297379791791,0.8304900770202784,0.0892634570442493,0.5857128967153621,0.0829665938118116,1.0,1.0,0.0,0.0
xai_2,x-ai/grok-4.3,xAI,closed,Unknown,49,0.6269351052041903,0.3982898026649368,0.8009805613156437,0.1006831741129825,0.7163517624973789,0.0894166572931886,0.9833333333333332,1.0,0.0,0.0
cohere_1,cohere/command-a-03-2025,Cohere,closed,RLHF-RAG,50,0.725416493588152,0.5462516618543662,0.8968053131282037,0.0901486794661276,0.6666666666666663,0.0587498269214856,1.0,1.0,0.0,0.0
meta_1,meta-llama/llama-4-maverick,Meta,open,DPO,50,0.8935046458152038,0.8265049821615038,0.9411105430244578,0.0295889325216843,0.903355984050604,0.0098513382354001,1.0,1.0,0.0,0.0
meta_2,meta-llama/llama-3.3-70b-instruct,Meta,open,DPO,46,0.9664508891196258,0.9413373039620264,0.9825981386720598,0.0108867001149779,0.9648885592673409,0.0015623298522849,0.9833333333333332,0.95,0.0,0.0
meta_3,meta-llama/llama-3.1-70b-instruct,Meta,open,Unknown,50,0.9035135336047004,0.8106082455775906,0.9586816075441114,0.0376567529598372,0.9126825046537196,0.009168971049019,1.0,1.0,0.0,0.0
qwen_1,qwen/qwen-2.5-72b-instruct,Qwen,open,DPO,50,0.770568566596582,0.5941126364441591,0.893114862472448,0.0760871992651182,0.971433527734724,0.200864961138142,1.0,1.0,0.0,0.0
qwen_2,qwen/qwen3-32b,Qwen,open,DPO,40,0.6942278094289435,0.4875539059253556,0.8514207267725641,0.0947008886337324,0.6912223623919784,0.003005447036965,0.9333333333333332,0.85,0.0,0.0
deepseek_1,deepseek/deepseek-chat-v3.1,DeepSeek,open,SFT-only,49,0.6620303879158854,0.4744600906722394,0.8126062302960297,0.0876491691993627,0.7619036292487682,0.0998732413328827,1.0,0.9666666666666668,0.0,0.0
deepseek_2,deepseek/deepseek-r1,DeepSeek,open,SFT-only,0,,,,,,,0.9166666666666666,0.0,0.0,0.0
mistral_1,mistralai/mistral-large-2411,Mistral,open,SFT-only,50,0.7572589081184884,0.6236865470275342,0.8663382855041455,0.0623316064165046,0.8098313974312409,0.0525724893127524,1.0,1.0,0.0,0.0
gemma_1,google/gemma-4-26b-a4b-it-20260403,Gemma,open,DPO,50,0.7129650425548061,0.5454020949159142,0.8306385621306539,0.0694702218598248,0.534306092553384,0.178658950001422,1.0,1.0,0.0,0.0
hermes_1,nousresearch/hermes-3-llama-3.1-70b,NousResearch,open,DPO-primary,60,0.9156314167540172,,,,,,,,,
ai21_1,ai21/jamba-large-1.7,AI21,closed,CAI,60,0.8342415636943393,,,,,,,,,
