model,family,abs_r_H_A_HEX,ci_low,ci_high
claude-opus-4-6,Anthropic,0.7119,0.5543,0.8336
claude-sonnet-4-5-20250929,Anthropic,0.7774,0.6567,0.8677
claude-sonnet-4-20250514,Anthropic,0.7956,0.6688,0.8829
claude-haiku-4-5-20251001,Anthropic,0.7893,0.6219,0.9187
gpt-5.2-2025-12-11,OpenAI,0.8058,0.7068,0.8768
gpt-5,OpenAI,0.7327,0.5733,0.8585
o4-mini,OpenAI,0.7262,0.5825,0.8431
gpt-4o-2024-08-06,OpenAI,0.9199,0.8684,0.9535
gpt-4o-2024-05-13,OpenAI,0.9179,0.8627,0.9540
gemini-3.1-pro-preview,Google,0.5743,0.3644,0.7476
gemini-3-pro-preview,Google,0.5732,0.3700,0.7389
gemini-2.5-pro,Google,0.6450,0.4555,0.8018
gemini-2.5-flash,Google,0.5527,0.3175,0.7540
gemini-2.5-flash-lite,Google,0.7421,0.5834,0.8423
x-ai/grok-4.3,xAI,0.6666,0.4896,0.8146
cohere/command-a-03-2025,Cohere,0.7190,0.5422,0.8736
meta-llama/llama-4-maverick,Meta,0.8934,0.8381,0.9360
meta-llama/llama-3.3-70b-instruct,Meta,0.9661,0.9471,0.9802
meta-llama/llama-3.1-70b-instruct,Meta,0.9067,0.8369,0.9546
qwen/qwen-2.5-72b-instruct,Qwen,0.8063,0.6697,0.9058
qwen/qwen3-32b,Qwen,0.6462,0.4491,0.8176
deepseek/deepseek-chat-v3.1,DeepSeek,0.6785,0.5091,0.8232
deepseek/deepseek-r1,DeepSeek,0.7774,0.6026,0.9124
mistralai/mistral-large-2411,Mistral,0.7650,0.6349,0.8586
google/gemma-4-26b-a4b-it-20260403,Google,0.6990,0.5579,0.8113
