slot,model,substrate,n_synth,abs_r_synth
anthropic_1,claude-opus-4-6,batchA_kessane22,22,0.0853
anthropic_2,claude-sonnet-4-5-20250929,batchA_kessane22,22,0.2679
anthropic_3,claude-sonnet-4-20250514,batchA_kessane22,22,0.2526
anthropic_4,claude-haiku-4-5-20251001,batchA_kessane22,22,0.5671
cohere_1,cohere/command-a-03-2025,batchA_kessane22,22,0.5291
deepseek_1,deepseek/deepseek-chat-v3.1,spans_transition,22,0.1609
deepseek_2,deepseek/deepseek-r1,batchB_klaes20,17,0.0968
gemma_1,google/gemma-4-26b-a4b-it-20260403,batchB_klaes20,20,0.2901
google_1,gemini-3.1-pro-preview,batchA_kessane22,22,0.2003
google_2,gemini-3-pro-preview,batchA_kessane22,22,0.1817
google_3,gemini-2.5-pro,batchA_kessane22,22,0.0218
google_4,gemini-2.5-flash,batchA_kessane22,22,0.0889
google_5,gemini-2.5-flash-lite,batchA_kessane22,22,0.6511
meta_1,meta-llama/llama-4-maverick,batchA_kessane22,22,0.5457
meta_2,meta-llama/llama-3.3-70b-instruct,batchA_kessane22,14,0.4298
meta_3,meta-llama/llama-3.1-70b-instruct,batchA_kessane22,22,0.3782
mistral_1,mistralai/mistral-large-2411,batchB_klaes20,20,0.1527
openai_1,gpt-5.2-2025-12-11,batchA_kessane22,22,0.2480
openai_2,gpt-5,batchA_kessane22,22,0.0068
openai_3,o4-mini,batchA_kessane22,22,0.3594
openai_4,gpt-4o-2024-08-06,batchA_kessane22,22,0.6233
openai_5,gpt-4o-2024-05-13,batchA_kessane22,22,0.4016
qwen_1,qwen/qwen-2.5-72b-instruct,batchA_kessane22,22,0.5393
qwen_2,qwen/qwen3-32b,batchA_kessane22,19,0.3788
xai_1,x-ai/grok-4.3,batchA_kessane22,20,0.1479
